,team_name,X,Y,Z,tick,steamid,name
5,,,,,157129,76561198135228658,gafolo
6,TERRORIST,-1411.3145,-1130.3131,11488.031,157129,76561198307734468,rdn---
7,CT,-1189.3397,862.16864,11776.031,157129,76561198377335846,snow_-_
8,TERRORIST,-1468.8372,-1194.3975,11488.031,157129,76561198809462276,koaLx
9,TERRORIST,-1439.7609,-1322.0359,11488.031,157129,76561198858681422,pepe--
0,CT,-860.1436,940.28204,11776.031,157129,76561198350342505,nqz-
1,CT,-929.6314,918.6384,11776.031,157129,76561198074017668,lux1-
2,CT,-1126.5762,925.89246,11776.031,157129,76561198015308884,biguzera-
3,CT,-1044.0262,924.3055,11776.031,157129,76561198385657675,kauez_
4,TERRORIST,-1502.5718,-1360.8275,11488.031,157129,76561198095896540,docz1n
5,,,,,157129,76561198135228658,gafolo
6,TERRORIST,-1411.3145,-1130.3131,11488.031,157129,76561198307734468,rdn---
7,CT,-1189.3397,862.16864,11776.031,157129,76561198377335846,snow_-_
8,TERRORIST,-1468.8372,-1194.3975,11488.031,157129,76561198809462276,koaLx
9,TERRORIST,-1439.7609,-1322.0359,11488.031,157129,76561198858681422,pepe--
0,CT,-860.1436,940.28204,11776.031,157193,76561198350342505,nqz-
1,CT,-929.6314,918.6384,11776.031,157193,76561198074017668,lux1-
2,CT,-1126.5762,925.89246,11776.031,157193,76561198015308884,biguzera-
3,CT,-1044.0262,924.3055,11776.031,157193,76561198385657675,kauez_
4,TERRORIST,-1502.5718,-1360.8275,11488.031,157193,76561198095896540,docz1n
5,TERRORIST,-1411.3145,-1130.3131,11488.031,157193,76561198307734468,rdn---
6,CT,-1189.3397,862.16864,11776.031,157193,76561198377335846,snow_-_
7,TERRORIST,-1468.8372,-1194.3975,11488.031,157193,76561198809462276,koaLx
