,team_name,X,Y,Z,tick,steamid,name
4,TERRORIST,-1590.5311,-1188.5662,11488.031,174259,76561198095896540,docz1n
5,TERRORIST,-1666.8344,-1234.2736,11488.031,174259,76561198307734468,rdn---
6,CT,-1325.881,933.87006,11776.031,174259,76561198377335846,snow_-_
7,TERRORIST,-1515.3533,-1242.2054,11488.031,174259,76561198809462276,koaLx
8,TERRORIST,-1667.4838,-1122.3196,11488.031,174259,76561198135228658,gafolo
9,TERRORIST,-1602.1453,-1125.0167,11488.031,174259,76561198858681422,pepe--
0,CT,-1607.8003,766.30475,11776.031,174323,76561198350342505,nqz-
1,CT,-1029.9187,564.8788,11776.031,174323,76561198074017668,lux1-
2,CT,-1035.6189,490.97162,11776.031,174323,76561198015308884,biguzera-
3,CT,-1152.2288,501.10532,11777.031,174323,76561198385657675,kauez_
4,TERRORIST,-1787.4948,-1045.0653,11488.031,174323,76561198095896540,docz1n
5,TERRORIST,-1846.6871,-1062.2421,11488.031,174323,76561198307734468,rdn---
6,CT,-1539.7583,815.31146,11782.355,174323,76561198377335846,snow_-_
7,TERRORIST,-1758.3096,-1254.3575,11488.031,174323,76561198809462276,koaLx
8,TERRORIST,-1773.4869,-922.2309,11488.031,174323,76561198135228658,gafolo
9,TERRORIST,-1781.4542,-980.1271,11488.031,174323,76561198858681422,pepe--
0,CT,-1826.7704,648.78955,11776.031,174387,76561198350342505,nqz-
1,CT,-1029.2987,323.49695,11776.031,174387,76561198074017668,lux1-
2,CT,-1005.3206,249.05824,11776.031,174387,76561198015308884,biguzera-
3,CT,-1061.9985,310.62616,11776.031,174387,76561198385657675,kauez_
4,TERRORIST,-1685.5037,-844.44037,11488.031,174387,76561198095896540,docz1n
5,TERRORIST,-2020.0693,-883.76605,11488.031,174387,76561198307734468,rdn---
6,CT,-1746.6096,675.9235,11776.031,174387,76561198377335846,snow_-_
7,TERRORIST,-2004.8704,-1226.5502,11591.47,174387,76561198809462276,koaLx
8,TERRORIST,-1604.166,-751.53925,11488.031,174387,76561198135228658,gafolo
9,TERRORIST,-1631.6052,-805.88086,11488.031,174387,76561198858681422,pepe--
0,CT,-2073.878,611.18176,11776.031,174451,76561198350342505,nqz-
1,CT,-961.15546,87.47306,11776.031,174451,76561198074017668,lux1-
2,CT,-934.03723,17.97192,11776.031,174451,76561198015308884,biguzera-
3,CT,-1027.9321,73.941025,11776.031,174451,76561198385657675,kauez_
4,TERRORIST,-1595.7484,-633.43994,11488.031,174451,76561198095896540,docz1n
5,TERRORIST,-2184.3489,-702.5841,11488.031,174451,76561198307734468,rdn---
6,CT,-1984.102,644.15497,11776.031,174451,76561198377335846,snow_-_
7,TERRORIST,-2161.2656,-1062.7947,11680.638,174451,76561198809462276,koaLx
8,TERRORIST,-1519.6782,-516.34894,11488.031,174451,76561198135228658,gafolo
9,TERRORIST,-1537.706,-574.60565,11488.031,174451,76561198858681422,pepe--
0,CT,-2279.8088,498.1692,11744.031,174515,76561198350342505,nqz-
1,CT,-905.8285,-152.12103,11776.031,174515,76561198074017668,lux1-
2,CT,-879.60925,-215.16125,11776.031,174515,76561198015308884,biguzera-
3,CT,-995.7241,-161.91632,11776.031,174515,76561198385657675,kauez_
